"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16699","Verify the validation of the Source field","chromium","2026-06-03","failed","2026-06-03","TC-06: Source field","tc-06-verify-source-field.spec.ts","",""
"","4519","Verify the functionality of the Preview button","chromium","2026-06-03","passed","2026-06-03","TC-08: Preview button","tc-08-verify-preview-button.spec.ts","",""
"","11279","User can create news with 3 tags and upload image via URL","chromium","2026-06-03","passed","2026-06-03","TC-04: Create news with image upload","tc-04-UploadImage.spec.ts","",""
"","6466","TC-10: Author can edit own news","chromium","2026-06-03","passed","2026-06-03","","tc-10-save-edit-news.spec.ts","",""
"","20643","Verify the validation of the Title field","chromium","2026-06-03","failed","2026-06-03","TC-02: Verify Title field","tc-02-verify-title-field.spec.ts","",""
"","5337","Create News form displays all required fields in correct order","chromium","2026-06-03","passed","2026-06-03","TC-01: Create News form","tc-01-create-news-form.spec.ts","",""
"","10533","Verify the validation of the Main Text field","chromium","2026-06-03","failed","2026-06-03","TC-05: Main Text field","tc-05-verify-main-text-field.spec.ts","",""
"","5705","Verify the functionality of the Cancel button","chromium","2026-06-03","passed","2026-06-03","TC-07: Cancel button","tc-07-verify-cancel-button.spec.ts","",""
"","9256","User can select between 1 and 3 tags, but not more","chromium","2026-06-03","passed","2026-06-03","TC-03: Create news with tags (1 to 3 tags)","tc-03-tag-selection.spec.ts","",""
"","5137","TC-09: Author can see Edit news button","chromium","2026-06-03","passed","2026-06-03","","tc-09-edit-news-button.spec.ts","",""
